                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.772,                 2.4375,                 1.5229,                0.51026,                0.40991,                0.43325,                0.23917,                 1.3716,                 2.1559,                 1.2827,             0.00044299,             0.00044299,             0.00044299
                      2,                 1.2747,                 1.0637,                 1.1146,                0.27874,                0.44704,                0.27862,                0.16717,                 1.2817,                 5.7997,                 1.2297,             0.00085571,             0.00085571,             0.00085571
                      3,                 1.2372,                0.94633,                  1.109,                0.55775,                0.45754,                0.51101,                0.30078,                 1.2333,                 1.1572,                 1.2547,              0.0012232,              0.0012232,              0.0012232
                      4,                 1.2249,                0.85907,                 1.0997,                0.77711,                0.55112,                 0.6304,                0.38829,                 1.1752,                 1.1319,                 1.1769,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.2013,                0.79253,                 1.0803,                0.73174,                0.60039,                 0.6679,                0.40827,                 1.2035,                0.94145,                 1.2422,              0.0011461,              0.0011461,              0.0011461
                      6,                  1.165,                0.78637,                  1.082,                0.62975,                0.66842,                0.67703,                0.39964,                 1.1462,                0.82906,                 1.1326,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.1339,                0.74501,                 1.0657,                0.71612,                0.72081,                0.72559,                0.43689,                 1.1422,                0.75465,                  1.117,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.1533,                0.69011,                 1.0467,                0.70515,                 0.6322,                0.68004,                0.41831,                 1.1345,                0.76764,                 1.1444,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.1338,                0.67425,                 1.0439,                0.81084,                0.74153,                0.79303,                 0.4983,                 1.1197,                 0.6688,                 1.1437,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.1259,                0.65985,                 1.0313,                0.73017,                 0.7921,                0.77114,                0.48703,                 1.0901,                0.66156,                 1.1087,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.0925,                0.63896,                 1.0427,                0.83601,                0.65537,                0.75538,                0.46229,                  1.121,                0.71084,                 1.1075,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.0756,                0.61613,                 1.0333,                0.77974,                0.72534,                0.78067,                 0.5076,                  1.051,                0.64041,                 1.0768,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.0425,                0.60514,                 1.0117,                0.81828,                0.63898,                0.76182,                0.47921,                 1.0973,                0.63555,                 1.0725,             0.00058017,             0.00058017,             0.00058017
                     14,                  1.049,                0.57762,                 1.0172,                0.75828,                0.74094,                0.79533,                0.50498,                 1.0832,                0.65253,                 1.0736,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.0398,                0.57268,                 1.0152,                0.86376,                0.70524,                0.78865,                0.51334,                 1.0391,                0.63396,                 1.0517,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.0041,                 0.5376,                 1.0028,                0.81657,                0.70388,                0.77117,                0.48419,                 1.0684,                0.60646,                 1.0697,             0.00036797,             0.00036797,             0.00036797
                     17,                0.99937,                0.51849,                0.99778,                0.82515,                0.71389,                 0.7892,                0.50789,                 1.0303,                0.58923,                 1.0475,             0.00029723,             0.00029723,             0.00029723
                     18,                0.96672,                0.50215,                0.98048,                0.83802,                0.74852,                0.80271,                0.51989,                0.99995,                0.57025,                 1.0343,              0.0002265,              0.0002265,              0.0002265
                     19,                0.96495,                 0.4798,                0.97252,                0.80528,                0.78312,                0.80681,                0.53031,                 1.0071,                0.56172,                 1.0393,             0.00015576,             0.00015576,             0.00015576
                     20,                0.94655,                0.47425,                 0.9659,                 0.8246,                0.77354,                0.81292,                0.53271,                 1.0107,                0.56084,                 1.0386,             8.5026e-05,             8.5026e-05,             8.5026e-05
